model,model_year,engine_hp,engine_cylinders,driven_wheels,number_of_doors,highway_mpg,city_mpg,popularity,msrp,maker_name,type_name,transmission_type_name,vehicle_size_name,vehicle_style_name,cost_per_unit,units_sold,profit_per_unit
370Z,2015,332.0,6.0,0,2.0,25,18,2009,49400,0,0,0,0,0,41845.56,508151,7554.44
370Z,2015,350.0,6.0,0,2.0,26,18,2009,45490,0,0,1,0,1,38493.73,447072,6996.27
612 Scaglietti,2009,532.0,12.0,0,2.0,16,9,2774,313088,1,0,2,1,1,237528.69,505,75559.31
626,2001,125.0,4.0,1,4.0,25,19,586,20935,2,1,0,2,2,18988.45,810228,1946.55
Accord,2015,185.0,4.0,1,4.0,36,27,2202,30195,3,1,0,2,2,27461.73,719886,2733.27
Beetle Convertible,2015,210.0,4.0,1,2.0,29,23,873,31995,4,2,2,0,0,29617.64,701633,2377.36
C/K 1500 Series,1997,200.0,6.0,0,2.0,20,15,1385,2529,5,1,1,1,3,2254.92,733806,274.08
C/K 1500 Series,1998,200.0,6.0,2,2.0,19,14,1385,3265,5,1,1,1,4,3014.82,778281,250.18
Crossfire,2007,215.0,6.0,0,2.0,23,15,1013,29510,6,0,1,0,5,26019.87,785714,3490.13
Dakota,2010,210.0,6.0,2,4.0,18,14,1851,27880,7,1,0,0,4,24778.17,728338,3101.83
E-Series Wagon,2013,255.0,8.0,0,3.0,15,11,5657,36545,8,3,0,2,6,33291.18,706997,3253.82
A4,2016,220.0,4.0,1,4.0,31,22,3105,35900,9,0,0,2,2,31761.86,875281,4138.14
Aspire,1997,63.0,4.0,1,4.0,38,29,5657,2000,8,1,1,0,7,1784.48,801538,215.52
350Z,2008,306.0,6.0,0,2.0,24,17,2009,36280,0,1,1,0,0,33599.36,826221,2680.64
5,2013,157.0,4.0,1,4.0,28,22,586,24470,2,1,0,0,8,22567.9,695973,1902.1
B-Series Pickup,1999,160.0,6.0,2,2.0,19,15,586,3514,2,1,1,0,4,3254.72,840481,259.28
B-Series Pickup,1999,150.0,6.0,0,4.0,21,16,586,2946,2,3,1,0,4,2679.79,839513,266.21
B-Series Pickup,2000,119.0,4.0,0,2.0,24,20,586,2637,2,1,1,0,3,2333.25,851135,303.75
CTS,2016,268.0,4.0,3,4.0,29,21,1624,47560,10,2,0,1,2,39577.04,470981,7982.96
Diamante,2003,205.0,6.0,1,4.0,23,16,436,28447,11,0,0,2,2,25177.76,845903,3269.24
Festiva,1991,63.0,4.0,1,2.0,38,30,5657,2000,8,1,1,0,5,1852.48,868236,147.52
Fiesta,2015,120.0,4.0,1,4.0,36,28,5657,15685,8,1,1,0,2,14165.52,789289,1519.48
Grand Caravan,2017,283.0,6.0,1,4.0,25,17,1851,32395,7,1,0,2,8,29871.47,850290,2523.53
911,2017,370.0,6.0,3,2.0,29,20,1715,96300,12,0,1,0,1,78561.87,17790,17738.13
928,1995,345.0,8.0,0,2.0,17,11,1715,9400,12,1,1,0,5,8319.13,868498,1080.87
Avalanche,2010,320.0,8.0,0,4.0,21,15,1385,45815,5,3,0,1,9,39391.59,492857,6423.41
Avalon Hybrid,2017,200.0,4.0,1,4.0,39,40,2031,38700,13,1,0,2,2,34296.63,868106,4403.37
Camry,2017,268.0,6.0,1,4.0,30,21,2031,31370,13,1,0,2,2,27816.62,885601,3553.38
Canyon,2012,242.0,5.0,2,4.0,21,16,549,28610,14,1,0,0,9,26457.04,694455,2152.96
Beetle Convertible,2015,150.0,4.0,1,2.0,40,30,873,30775,4,4,2,0,0,27185.88,802807,3589.12
Beetle,2015,170.0,4.0,1,2.0,33,24,873,20695,4,1,1,0,5,18453.14,748189,2241.86
Canyon,2015,200.0,4.0,0,4.0,27,20,549,29730,14,1,0,0,4,26801.32,789750,2928.68
Civic,2015,143.0,4.0,1,4.0,36,28,2202,18490,3,1,1,0,2,16801.47,703511,1688.53
300,2017,300.0,6.0,3,4.0,27,18,1013,38670,6,1,0,1,2,35829.38,769524,2840.62
300,2017,292.0,6.0,0,4.0,30,19,1013,42770,6,1,0,1,2,35769.85,485413,7000.15
Caravan,2007,170.0,6.0,1,4.0,24,17,1851,20555,7,1,0,0,10,18413.89,890388,2141.11
Catera,2001,200.0,6.0,0,4.0,22,16,1624,31305,10,0,0,2,2,28811.48,793913,2493.52
CTS Coupe,2012,318.0,6.0,3,2.0,27,18,1624,50050,10,1,0,2,1,43923.49,516752,6126.51
CTS Coupe,2013,318.0,6.0,0,2.0,27,18,1624,43950,10,1,0,2,1,37860.91,442913,6089.09
CTS-V Coupe,2014,556.0,8.0,0,2.0,19,14,1624,63600,10,0,1,2,1,50550.04,37254,13049.96
Cruze Limited,2016,138.0,4.0,1,4.0,36,25,1385,17845,5,1,1,2,2,16567.08,707974,1277.92
Edge,2016,245.0,4.0,1,4.0,30,20,5657,31790,8,2,0,2,11,29365.79,724393,2424.21
Edge,2017,245.0,4.0,1,4.0,29,21,5657,28950,8,2,0,2,11,26440.36,906390,2509.64
Equinox,2016,182.0,4.0,1,4.0,32,22,1385,29740,5,1,0,0,11,27201.52,771462,2538.48
Evora,2013,276.0,6.0,0,2.0,26,18,613,68300,15,0,1,0,1,57310.74,34099,10989.26
Civic,2017,174.0,4.0,1,4.0,42,32,2202,22300,3,1,0,2,2,19831.13,890458,2468.87
CTS Wagon,2013,318.0,6.0,3,4.0,26,18,1624,51650,10,1,0,2,12,44868.03,431087,6781.97
CTS Wagon,2014,270.0,6.0,0,4.0,26,18,1624,42195,10,1,0,2,12,35153.99,463472,7041.01
Discovery,2004,217.0,8.0,2,4.0,14,11,258,40685,16,0,0,2,11,35033.13,504189,5651.87
DTS,2009,275.0,8.0,1,4.0,23,15,1624,47625,10,1,0,1,2,40676.57,518397,6948.43
ATS Coupe,2017,272.0,4.0,0,2.0,31,22,1624,37595,10,2,0,0,1,34408.58,888213,3186.42
ATS,2015,202.0,4.0,0,4.0,33,21,1624,33215,10,1,0,0,2,30537.15,777735,2677.85
C/K 1500 Series,1998,200.0,6.0,2,2.0,19,14,1385,3282,5,1,1,1,3,3019.11,831702,262.89
200,2016,295.0,6.0,3,4.0,29,18,1013,29905,6,3,0,2,2,26552.5,904368,3352.5
Acadia,2016,281.0,6.0,1,4.0,22,15,549,41020,14,1,0,2,11,35859.08,446785,5160.92
Acadia,2017,194.0,4.0,1,4.0,26,21,549,29070,14,1,0,2,11,26432.99,725804,2637.01
Avalon,2016,268.0,6.0,1,4.0,31,21,2031,34400,13,1,0,2,2,31289.41,741313,3110.59
Bronco,1995,205.0,8.0,2,2.0,16,12,5657,2620,8,1,1,2,13,2366.5,714087,253.5
